date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:49:02	196/196	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2028%20Dec%202020%2016:49:02%20GMT	../robots.txt		(from )
23:49:03	77680/77680	---M-Z	200	added ('OK')	text/html	date:Mon,%2028%20Dec%202020%2016:49:02%20GMT	../	C:/Users/PHUNGDINHSON/Documents/test/thuvien/127.0.0.1/wordpress/index.html	(from )
23:49:03	87561/87561	---M-Z	200	added ('OK')	text/css	etag:%2215609-5b6d231ca103c-gzip%22	../wp-content/themes/astra/assets/css/minified/style.min.css?ver=2.6.2	C:/Users/PHUNGDINHSON/Documents/test/thuvien/127.0.0.1/wordpress/wp-content/themes/astra/assets/css/minified/style.min61da.css	(from ../)
23:49:03	1678/1678	---M-Z	200	added ('OK')	application/rss+xml	etag:%22b6aa7d316039f09a4df12e22cefccb03-gzip%22	../feed/	C:/Users/PHUNGDINHSON/Documents/test/thuvien/127.0.0.1/wordpress/feed/index.html	(from ../)
23:49:03	3304/3304	---M--	200	added ('OK')	font/woff	etag:%22ce8-5b6d231cc0403%22	../wp-content/themes/astra/assets/fonts/astra.woff	C:/Users/PHUNGDINHSON/Documents/test/thuvien/127.0.0.1/wordpress/wp-content/themes/astra/assets/fonts/astra.woff	(from ../)
23:49:03	3412/3412	---M-Z	200	added ('OK')	text/css	etag:%22d54-5b6d231c9f102-gzip%22	../wp-content/themes/astra/assets/css/minified/menu-animation.min.css?ver=2.6.2	C:/Users/PHUNGDINHSON/Documents/test/thuvien/127.0.0.1/wordpress/wp-content/themes/astra/assets/css/minified/menu-animation.min61da.css	(from ../)
23:49:04	51433/51433	---M-Z	200	added ('OK')	text/css	etag:%22c8e9-5b5662b38fd00-gzip%22	../wp-includes/css/dist/block-library/style.min.css?ver=5.6	C:/Users/PHUNGDINHSON/Documents/test/thuvien/127.0.0.1/wordpress/wp-includes/css/dist/block-library/style.min40df.css	(from ../)
23:49:04	776/776	---M-Z	200	added ('OK')	text/css	etag:%22308-5b6d233952519-gzip%22	../wp-content/plugins/header-footer-elementor/assets/css/header-footer-elementor.css?ver=1.5.4	C:/Users/PHUNGDINHSON/Documents/test/thuvien/127.0.0.1/wordpress/wp-content/plugins/header-footer-elementor/assets/css/header-footer-elementor357c.css	(from ../)
23:49:04	1655/1655	---M-Z	200	added ('OK')	application/rss+xml	etag:%2224825ca0eaf0b951189e0e0bb6350b0a-gzip%22	../comments/feed/	C:/Users/PHUNGDINHSON/Documents/test/thuvien/127.0.0.1/wordpress/comments/feed/index.html	(from ../)
23:49:04	16636/16636	---M-Z	200	added ('OK')	text/css	etag:%2240fc-5b6d232f490ed-gzip%22	../wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.9.1	C:/Users/PHUNGDINHSON/Documents/test/thuvien/127.0.0.1/wordpress/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min74e5.css	(from ../)
23:49:04	18468/18468	---M-Z	200	added ('OK')	text/css	etag:%224824-5b6d232f1e204-gzip%22	../wp-content/plugins/elementor/assets/lib/animations/animations.min.css?ver=3.0.14	C:/Users/PHUNGDINHSON/Documents/test/thuvien/127.0.0.1/wordpress/wp-content/plugins/elementor/assets/lib/animations/animations.minc578.css	(from ../)
23:49:05	3855/3855	---M-Z	200	added ('OK')	text/css	etag:%22f0f-5b6d232e0d43e-gzip%22	../wp-content/plugins/elementor/assets/css/frontend-legacy.min.css?ver=3.0.14	C:/Users/PHUNGDINHSON/Documents/test/thuvien/127.0.0.1/wordpress/wp-content/plugins/elementor/assets/css/frontend-legacy.minc578.css	(from ../)
23:49:05	112213/112213	---M-Z	200	added ('OK')	text/css	etag:%221b655-5b6d232e1523a-gzip%22	../wp-content/plugins/elementor/assets/css/frontend.min.css?ver=3.0.14	C:/Users/PHUNGDINHSON/Documents/test/thuvien/127.0.0.1/wordpress/wp-content/plugins/elementor/assets/css/frontend.minc578.css	(from ../)
23:49:05	948/948	---M-Z	200	added ('OK')	text/css	etag:%223b4-5b6fc16455990-gzip%22	../wp-content/uploads/elementor/css/post-715.css?ver=1608568705	C:/Users/PHUNGDINHSON/Documents/test/thuvien/127.0.0.1/wordpress/wp-content/uploads/elementor/css/post-715fe38.css	(from ../)
23:49:05	210961/210961	---M-Z	200	added ('OK')	text/css	etag:%2233811-5b6d2266a9702-gzip%22	../wp-content/plugins/elementor-pro/assets/css/frontend.min.css?ver=3.0.8	C:/Users/PHUNGDINHSON/Documents/test/thuvien/127.0.0.1/wordpress/wp-content/plugins/elementor-pro/assets/css/frontend.min6173.css	(from ../)
23:49:06	57180/57180	---M-Z	200	added ('OK')	text/css	etag:%22df5c-5b6d232f62464-gzip%22	../wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min.css?ver=3.0.14	C:/Users/PHUNGDINHSON/Documents/test/thuvien/127.0.0.1/wordpress/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.minc578.css	(from ../)
23:49:07	26702/26702	---M-Z	200	added ('OK')	text/css	etag:%22684e-5b6d232f6c088-gzip%22	../wp-content/plugins/elementor/assets/lib/font-awesome/css/v4-shims.min.css?ver=3.0.14	C:/Users/PHUNGDINHSON/Documents/test/thuvien/127.0.0.1/wordpress/wp-content/plugins/elementor/assets/lib/font-awesome/css/v4-shims.minc578.css	(from ../)
23:49:07	28051/28051	---M-Z	200	added ('OK')	text/css	etag:%226d93-5b786f851e832-gzip%22	../wp-content/uploads/elementor/css/post-732.css?ver=1609165203	C:/Users/PHUNGDINHSON/Documents/test/thuvien/127.0.0.1/wordpress/wp-content/uploads/elementor/css/post-7328e5d.css	(from ../)
23:49:07	74832/74832	---M-Z	200	added ('OK')	text/css	etag:%2212450-5b6d23398bb9a-gzip%22	../wp-content/plugins/header-footer-elementor/inc/widgets-css/frontend.css?ver=1.5.4	C:/Users/PHUNGDINHSON/Documents/test/thuvien/127.0.0.1/wordpress/wp-content/plugins/header-footer-elementor/inc/widgets-css/frontend357c.css	(from ../)
23:49:07	7026/7026	---M-Z	200	added ('OK')	text/css	etag:%221b72-5b7870da338e3-gzip%22	../wp-content/uploads/elementor/css/post-293.css?ver=1609165560	C:/Users/PHUNGDINHSON/Documents/test/thuvien/127.0.0.1/wordpress/wp-content/uploads/elementor/css/post-293dc66.css	(from ../)
23:49:07	55753/55753	---M-Z	200	added ('OK')	text/css	etag:%22d9c9-5b6d232f68210-gzip%22	../wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.min.css?ver=5.12.0	C:/Users/PHUNGDINHSON/Documents/test/thuvien/127.0.0.1/wordpress/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.minb683.css	(from ../)
23:49:08	668/668	---M-Z	200	added ('OK')	text/css	etag:%2229c-5b6d232f6a16f-gzip%22	../wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.min.css?ver=5.12.0	C:/Users/PHUNGDINHSON/Documents/test/thuvien/127.0.0.1/wordpress/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.minb683.css	(from ../)
23:49:08	661/661	---M-Z	200	added ('OK')	text/css	etag:%22295-5b6d232f6439f-gzip%22	../wp-content/plugins/elementor/assets/lib/font-awesome/css/brands.min.css?ver=5.12.0	C:/Users/PHUNGDINHSON/Documents/test/thuvien/127.0.0.1/wordpress/wp-content/plugins/elementor/assets/lib/font-awesome/css/brands.minb683.css	(from ../)
23:49:08	15055/15055	---M-Z	200	added ('OK')	application/javascript	etag:%223acf-5b6d232f7ba5b-gzip%22	../wp-content/plugins/elementor/assets/lib/font-awesome/js/v4-shims.min.js?ver=3.0.14	C:/Users/PHUNGDINHSON/Documents/test/thuvien/127.0.0.1/wordpress/wp-content/plugins/elementor/assets/lib/font-awesome/js/v4-shims.minc578.js	(from ../)
23:49:09	822/822	---M-Z	200	added ('OK')	text/xml	date:Mon,%2028%20Dec%202020%2016:49:09%20GMT	../xmlrpc.php?rsd	C:/Users/PHUNGDINHSON/Documents/test/thuvien/127.0.0.1/wordpress/xmlrpc0db0.php	(from ../)
23:49:10	1045/1045	---M--	200	added ('OK')	application/xml	etag:%22415-4ed4785da9bc0%22	../wp-includes/wlwmanifest.xml	C:/Users/PHUNGDINHSON/Documents/test/thuvien/127.0.0.1/wordpress/wp-includes/wlwmanifest.xml	(from ../)
23:49:10	2317/2317	---M--	200	added ('OK')	application/json	date:Mon,%2028%20Dec%202020%2016:49:09%20GMT	../wp-json/oembed/1.0/embed?url=http%3A%2F%2F127.0.0.1%2Fwordpress%2F	C:/Users/PHUNGDINHSON/Documents/test/thuvien/127.0.0.1/wordpress/wp-json/oembed/1.0/embedea0a.json	(from ../)
23:49:10	2427/2427	---M-Z	200	added ('OK')	text/xml	date:Mon,%2028%20Dec%202020%2016:49:10%20GMT	../wp-json/oembed/1.0/embed?url=http%3A%2F%2F127.0.0.1%2Fwordpress%2F&format=xml	C:/Users/PHUNGDINHSON/Documents/test/thuvien/127.0.0.1/wordpress/wp-json/oembed/1.0/embed7859	(from ../)
23:49:10	226/226	---M--	400	error ('Bad%20Request')	text/html	date:Mon,%2028%20Dec%202020%2016:49:10%20GMT	../%22data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20preserveAspectRatio='none'%20overflow='visible'%20height='100%'%20viewBox='0%200%2024%2024'%20fill='black'%20stroke='none'%3E%3Cpolygon%20points='9.4,2%2024,2%2014.6,21.6%200,21.6'/%3E%3C/svg%3E%22	C:/Users/PHUNGDINHSON/Documents/test/thuvien/127.0.0.1/wordpress/_data_image/svg+xml,_svg%20xmlns='http_/www.w3.org/2000/svg'%20preserveAspectRatio='none'%20overflow='visib/__/svg__	(from ../)
23:49:10	31741/31741	---MC-	200	added ('OK')	application/json	date:Mon,%2028%20Dec%202020%2016:49:08%20GMT	../wp-json/wp/v2/pages/732	C:/Users/PHUNGDINHSON/Documents/test/thuvien/127.0.0.1/wordpress/wp-json/wp/v2/pages/732.json	(from ../)
23:49:10	5398/5398	---M--	200	added ('OK')	image/png	etag:%221516-5b7867b24ce59%22	../wp-content/uploads/2020/12/cropped-0b80f2fd-0cc7-4fe8-8e75-2f7dafa840f5_200x200-80x43.png	C:/Users/PHUNGDINHSON/Documents/test/thuvien/127.0.0.1/wordpress/wp-content/uploads/2020/12/cropped-0b80f2fd-0cc7-4fe8-8e75-2f7dafa840f5_200x200-80x43.png	(from ../)
23:49:11	62053/62053	---M-Z	200	added ('OK')	text/html	date:Mon,%2028%20Dec%202020%2016:49:11%20GMT	../thong-tin/	C:/Users/PHUNGDINHSON/Documents/test/thuvien/127.0.0.1/wordpress/thong-tin/index.html	(from ../)
23:49:12	10594/10594	---M-Z	200	added ('OK')	application/javascript	etag:%222962-5b6d231ccfdc2-gzip%22	../wp-content/themes/astra/assets/js/minified/style.min.js?ver=2.6.2	C:/Users/PHUNGDINHSON/Documents/test/thuvien/127.0.0.1/wordpress/wp-content/themes/astra/assets/js/minified/style.min61da.js	(from ../)
23:49:13	60013/60013	---M-Z	200	added ('OK')	text/html	date:Mon,%2028%20Dec%202020%2016:49:12%20GMT	../ve-chung-toi/	C:/Users/PHUNGDINHSON/Documents/test/thuvien/127.0.0.1/wordpress/ve-chung-toi/index.html	(from ../)
23:49:13	1434/1434	---M-Z	200	added ('OK')	application/javascript	etag:%2259a-595c52fd2e6c0-gzip%22	../wp-includes/js/wp-embed.min.js?ver=5.6	C:/Users/PHUNGDINHSON/Documents/test/thuvien/127.0.0.1/wordpress/wp-includes/js/wp-embed.min40df.js	(from ../)
23:49:14	62327/62327	---M-Z	200	added ('OK')	text/html	date:Mon,%2028%20Dec%202020%2016:49:14%20GMT	../cau-hoi-thuong-gap/	C:/Users/PHUNGDINHSON/Documents/test/thuvien/127.0.0.1/wordpress/cau-hoi-thuong-gap/index.html	(from ../)
23:49:14	17371/17371	---M--	200	added ('OK')	image/png	etag:%2243db-5b6fbbd662f82%22	../wp-content/uploads/2020/12/cropped-0b80f2fd-0cc7-4fe8-8e75-2f7dafa840f5_200x200.png	C:/Users/PHUNGDINHSON/Documents/test/thuvien/127.0.0.1/wordpress/wp-content/uploads/2020/12/cropped-0b80f2fd-0cc7-4fe8-8e75-2f7dafa840f5_200x200.png	(from ../)
